timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.03,-0.25,-1.18,3.12,0,Ankle Pumps
200,25.53,26.91,-0.17,-0.46,0,Ankle Pumps
400,27.13,26.34,-0.68,2.84,0,Ankle Pumps
600,3.07,3.83,0.11,0.97,0,Ankle Pumps
800,22.06,22.24,2.51,-0.96,0,Ankle Pumps
1000,28.54,29.62,1.24,0.83,0,Ankle Pumps
1200,5.95,6.09,-3.85,0.47,0,Ankle Pumps
1400,21.44,21.24,-2.01,0.96,0,Ankle Pumps
1600,28.99,29.66,0.38,-1.76,0,Ankle Pumps
1800,9.63,10.57,0.64,1.39,0,Ankle Pumps
2000,19.36,18.3,-1.97,-1.33,0,Ankle Pumps
2200,29.18,28.69,1.93,-0.2,0,Ankle Pumps
2400,13.77,15.29,1.33,-0.8,0,Ankle Pumps
2600,15.82,17.35,4.73,1.21,0,Ankle Pumps
2800,30.22,30.76,0.68,0.83,0,Ankle Pumps
3000,15.75,16.04,-0.65,1.12,0,Ankle Pumps
3200,12.79,11.68,-1.77,1.74,0,Ankle Pumps
3400,30.38,31.01,0.0,0.78,0,Ankle Pumps
3600,17.93,17.32,-1.6,-1.35,0,Ankle Pumps
3800,10.56,9.66,-3.77,0.68,0,Ankle Pumps
4000,29.02,27.77,1.65,-0.47,0,Ankle Pumps
4200,20.52,21.75,0.16,1.14,0,Ankle Pumps
4400,6.5,6.15,-0.42,-0.63,0,Ankle Pumps
4600,27.9,26.96,-4.76,0.37,0,Ankle Pumps
4800,23.74,23.87,-1.44,1.35,0,Ankle Pumps
5000,3.76,4.35,1.85,0.35,0,Ankle Pumps
5200,25.61,26.82,1.24,2.33,0,Ankle Pumps
5400,25.06,26.38,2.15,-0.3,0,Ankle Pumps
5600,1.94,2.0,-0.11,-1.01,0,Ankle Pumps
5800,25.88,26.43,0.45,0.05,0,Ankle Pumps
6000,26.32,25.1,-3.39,-1.12,0,Ankle Pumps
6200,3.34,2.44,1.9,1.27,0,Ankle Pumps
6400,23.19,23.06,-0.37,-1.45,0,Ankle Pumps
6600,28.89,28.35,-1.27,-0.09,0,Ankle Pumps
6800,6.44,7.28,-3.91,-1.08,0,Ankle Pumps
7000,22.26,22.73,-2.25,-0.29,0,Ankle Pumps
7200,30.43,29.8,1.37,0.0,0,Ankle Pumps
7400,9.21,8.82,-1.17,0.68,0,Ankle Pumps
7600,19.67,19.2,0.75,-1.05,0,Ankle Pumps
7800,30.2,28.93,0.05,-2.81,0,Ankle Pumps
8000,11.51,11.04,0.1,0.45,0,Ankle Pumps
8200,16.69,16.29,1.28,-1.23,0,Ankle Pumps
8400,30.16,30.61,-2.88,-0.91,0,Ankle Pumps
8600,16.14,15.98,1.38,-1.26,0,Ankle Pumps
8800,12.76,13.72,-0.98,0.34,0,Ankle Pumps
9000,29.27,28.72,-0.59,-0.14,0,Ankle Pumps
9200,17.8,17.79,7.02,0.55,0,Ankle Pumps
