timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,0.39,-3.01,-0.05,0,Bridges
200,4.94,6.09,-3.62,-0.79,0,Bridges
400,9.12,7.95,-1.83,-0.26,0,Bridges
600,14.1,13.68,-0.5,-1.06,0,Bridges
800,17.55,18.16,-3.79,2.31,0,Bridges
1000,18.9,19.14,2.22,-1.02,0,Bridges
1200,20.4,21.18,3.21,0.69,0,Bridges
1400,20.09,20.42,-0.39,-0.73,0,Bridges
1600,17.6,17.29,1.19,-0.75,0,Bridges
1800,15.9,16.65,-1.2,-0.71,0,Bridges
2000,11.44,11.76,0.18,-1.54,0,Bridges
2200,7.9,8.91,0.07,2.05,0,Bridges
2400,1.61,1.62,2.75,-2.0,0,Bridges
2600,2.81,3.35,1.62,-2.29,0,Bridges
2800,7.83,8.09,-1.65,-0.04,0,Bridges
3000,12.51,13.32,1.86,-0.43,0,Bridges
3200,16.1,16.35,0.94,-0.63,0,Bridges
3400,18.88,19.56,2.39,-1.65,0,Bridges
3600,19.38,21.15,5.56,-0.18,0,Bridges
3800,20.38,19.38,1.72,0.12,0,Bridges
4000,19.25,20.23,2.49,0.6,0,Bridges
4200,17.29,17.63,-5.64,0.42,0,Bridges
4400,12.67,13.9,-0.4,-0.09,0,Bridges
4600,9.54,11.39,1.22,0.34,0,Bridges
4800,4.82,5.14,-0.05,2.93,0,Bridges
5000,0.22,1.2,-2.6,-1.01,0,Bridges
5200,5.96,8.26,3.0,0.31,0,Bridges
5400,10.99,10.94,4.32,-1.55,0,Bridges
5600,15.42,16.64,-3.92,-1.52,0,Bridges
5800,16.57,16.05,-0.27,2.24,0,Bridges
6000,18.76,18.53,0.72,0.68,0,Bridges
6200,20.74,20.92,-2.34,-1.47,0,Bridges
6400,19.85,20.62,-3.6,2.28,0,Bridges
6600,18.21,18.57,-0.19,-1.72,0,Bridges
6800,15.27,14.94,-0.41,-0.82,0,Bridges
7000,11.7,11.88,-4.71,0.35,0,Bridges
7200,7.54,7.32,3.23,1.83,0,Bridges
7400,0.86,0.48,3.93,0.36,0,Bridges
7600,4.59,4.49,2.09,-0.24,0,Bridges
7800,8.03,7.86,-0.26,2.0,0,Bridges
8000,12.97,14.21,-0.02,-1.68,0,Bridges
8200,16.29,16.45,-0.3,0.58,0,Bridges
8400,18.35,16.77,0.77,-1.14,0,Bridges
8600,20.05,21.33,-0.77,0.43,0,Bridges
8800,20.26,20.42,-0.72,-1.49,0,Bridges
9000,19.84,21.35,-1.61,0.97,0,Bridges
9200,15.28,16.35,-1.63,-2.92,0,Bridges
9400,13.91,13.65,0.27,-1.84,0,Bridges
9600,9.3,8.11,-2.25,0.81,0,Bridges
9800,3.13,3.07,2.28,1.18,0,Bridges
10000,0.76,-0.21,-1.2,-1.1,0,Bridges
10200,6.0,4.31,0.8,-1.37,0,Bridges
10400,10.69,11.33,2.74,-1.96,0,Bridges
10600,15.37,13.49,-1.35,-0.37,0,Bridges
