timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.69,-0.52,0.42,0.56,0,Heel Raises
200,20.54,20.37,-0.09,0.28,0,Heel Raises
400,33.51,33.07,3.01,0.21,0,Heel Raises
600,33.45,33.59,-0.63,-0.69,0,Heel Raises
800,19.6,19.51,0.35,2.43,0,Heel Raises
1000,0.57,0.41,1.36,1.84,0,Heel Raises
1200,20.63,22.47,-0.48,-4.22,0,Heel Raises
1400,32.47,32.54,-1.2,0.28,0,Heel Raises
1600,33.27,33.2,0.47,0.29,0,Heel Raises
1800,20.51,20.68,-1.43,-0.49,0,Heel Raises
2000,1.06,2.5,1.71,-0.18,0,Heel Raises
2200,22.68,21.62,-1.32,-0.07,0,Heel Raises
2400,33.16,32.49,4.62,1.6,0,Heel Raises
2600,32.56,32.59,-1.01,-1.31,0,Heel Raises
2800,19.24,20.06,-0.25,-0.55,0,Heel Raises
3000,1.83,3.73,0.94,1.31,0,Heel Raises
3200,22.33,22.88,-4.2,-3.24,0,Heel Raises
3400,33.78,33.59,4.08,-1.45,0,Heel Raises
3600,32.62,32.63,1.8,-0.39,0,Heel Raises
3800,18.4,16.62,-0.68,-0.64,0,Heel Raises
4000,2.92,3.01,1.32,0.8,0,Heel Raises
4200,21.57,22.8,-0.41,-0.06,0,Heel Raises
4400,33.8,31.39,-1.55,-3.46,0,Heel Raises
4600,32.14,33.23,-2.52,0.44,0,Heel Raises
4800,17.65,18.27,-0.97,-0.26,0,Heel Raises
5000,2.75,2.48,-1.38,-0.53,0,Heel Raises
5200,22.23,20.89,0.82,-0.45,0,Heel Raises
5400,33.29,32.81,2.04,-0.1,0,Heel Raises
5600,30.24,30.17,-1.24,0.97,0,Heel Raises
5800,17.38,17.17,-1.93,0.44,0,Heel Raises
6000,3.31,2.32,-2.55,-0.2,0,Heel Raises
6200,24.29,24.35,2.34,-0.22,0,Heel Raises
6400,34.46,34.62,-0.47,-0.65,0,Heel Raises
6600,31.14,31.62,-3.93,0.52,0,Heel Raises
6800,17.37,17.01,2.2,-1.57,0,Heel Raises
7000,4.07,4.34,1.11,-0.6,0,Heel Raises
7200,24.08,23.8,0.43,-0.52,0,Heel Raises
7400,33.74,33.34,1.2,0.98,0,Heel Raises
7600,32.09,33.26,-2.2,3.46,0,Heel Raises
7800,16.59,16.2,3.5,-1.56,0,Heel Raises
8000,4.46,3.46,0.23,0.78,0,Heel Raises
8200,24.29,24.64,2.61,1.42,0,Heel Raises
8400,33.42,32.88,0.41,1.21,0,Heel Raises
8600,32.31,32.65,-0.21,-2.87,0,Heel Raises
8800,15.07,15.0,-2.16,-1.58,0,Heel Raises
9000,5.34,3.64,-1.09,1.55,0,Heel Raises
9200,24.42,24.46,3.03,0.25,0,Heel Raises
9400,34.32,33.76,0.24,-1.15,0,Heel Raises
9600,31.04,30.98,0.09,-2.29,0,Heel Raises
9800,16.53,16.82,2.33,0.11,0,Heel Raises
