timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.78,1.01,-0.55,0.72,0,Heel Slides
200,34.53,35.49,0.14,1.77,0,Heel Slides
400,63.07,61.34,0.65,-0.04,0,Heel Slides
600,81.94,82.12,0.56,0.48,0,Heel Slides
800,89.39,90.21,-3.38,2.2,0,Heel Slides
1000,85.07,85.43,-4.84,1.2,0,Heel Slides
1200,68.46,66.56,2.53,-0.03,0,Heel Slides
1400,41.31,41.43,0.38,-1.47,0,Heel Slides
1600,9.43,10.76,0.92,1.42,0,Heel Slides
1800,22.77,23.76,-1.72,0.85,0,Heel Slides
2000,53.74,54.49,-0.98,0.1,0,Heel Slides
2200,77.12,79.87,-1.3,-0.22,0,Heel Slides
2400,88.76,87.78,0.91,0.36,0,Heel Slides
2600,87.43,89.67,0.04,0.8,0,Heel Slides
2800,74.17,73.84,0.43,0.06,0,Heel Slides
3000,51.58,52.81,1.35,-0.18,0,Heel Slides
3200,19.1,17.52,4.12,-0.11,0,Heel Slides
3400,13.22,13.08,-1.33,-0.66,0,Heel Slides
3600,46.57,46.91,-1.27,-1.34,0,Heel Slides
3800,71.39,69.14,-1.33,-0.12,0,Heel Slides
4000,85.89,86.4,1.05,-1.86,0,Heel Slides
4200,89.31,91.32,-0.88,-0.91,0,Heel Slides
4400,80.83,79.72,-0.07,1.21,0,Heel Slides
4600,59.29,59.34,1.63,-1.88,0,Heel Slides
4800,30.25,30.21,-1.76,2.17,0,Heel Slides
5000,4.1,4.17,-1.4,0.75,0,Heel Slides
5200,37.66,38.06,1.18,0.69,0,Heel Slides
5400,65.31,64.42,0.69,-2.21,0,Heel Slides
5600,82.67,82.75,3.02,-3.44,0,Heel Slides
5800,90.69,90.16,2.16,-1.16,0,Heel Slides
6000,83.66,83.44,-2.88,0.78,0,Heel Slides
6200,65.42,64.86,0.85,0.16,0,Heel Slides
6400,38.23,41.22,-1.71,0.1,0,Heel Slides
6600,4.89,5.51,0.86,2.12,0,Heel Slides
6800,28.51,25.91,2.66,-2.27,0,Heel Slides
