timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,1.24,-2.8,-2.42,0,Lunges
200,33.44,32.66,1.64,-0.59,0,Lunges
400,62.33,61.15,-0.24,-1.16,0,Lunges
600,81.59,81.01,2.0,-0.98,0,Lunges
800,89.35,90.13,-1.22,-0.86,0,Lunges
1000,85.27,83.86,0.16,1.27,0,Lunges
1200,68.86,70.53,1.01,1.63,0,Lunges
1400,42.5,41.83,2.18,1.12,0,Lunges
1600,10.13,9.71,-0.44,-2.42,0,Lunges
1800,23.63,25.18,2.74,1.41,0,Lunges
2000,53.93,55.28,-0.83,0.72,0,Lunges
2200,77.32,78.39,2.9,-0.88,0,Lunges
2400,88.34,89.9,0.18,-0.28,0,Lunges
2600,87.25,87.29,-0.85,-0.98,0,Lunges
2800,74.53,72.35,0.88,-0.09,0,Lunges
3000,50.53,51.76,0.91,-0.17,0,Lunges
3200,19.42,19.69,0.32,-0.68,0,Lunges
3400,13.89,13.92,0.11,1.55,0,Lunges
3600,46.36,46.52,0.53,1.88,0,Lunges
3800,71.46,72.06,2.42,1.06,0,Lunges
4000,86.71,85.83,-0.07,0.11,0,Lunges
4200,89.47,91.13,-0.94,-2.05,0,Lunges
4400,79.29,80.63,-6.06,2.9,0,Lunges
4600,59.26,58.7,1.24,-0.67,0,Lunges
4800,29.88,30.72,-3.42,3.14,0,Lunges
5000,3.83,4.74,-2.6,2.09,0,Lunges
5200,37.81,38.99,-2.55,0.42,0,Lunges
5400,64.26,64.25,3.14,-1.69,0,Lunges
5600,83.09,83.46,-0.68,-2.91,0,Lunges
5800,88.75,88.34,0.95,0.86,0,Lunges
6000,84.06,83.55,-0.06,-0.61,0,Lunges
6200,66.58,66.2,-0.35,1.78,0,Lunges
6400,37.94,38.1,-3.04,1.16,0,Lunges
6600,6.38,7.28,-2.93,3.94,0,Lunges
6800,28.38,27.37,-1.35,1.94,0,Lunges
7000,58.13,57.53,1.48,-0.28,0,Lunges
7200,78.7,78.17,-1.81,0.09,0,Lunges
7400,88.87,88.45,-1.06,-0.53,0,Lunges
7600,87.35,87.87,-1.37,2.61,0,Lunges
7800,72.43,72.0,4.09,-0.03,0,Lunges
8000,46.75,46.24,-3.38,0.6,0,Lunges
8200,16.1,15.35,-0.52,4.05,0,Lunges
8400,18.23,18.17,-0.04,-0.64,0,Lunges
8600,49.33,47.86,1.79,2.0,0,Lunges
8800,74.32,72.86,-1.79,0.27,0,Lunges
9000,87.56,87.77,0.75,-3.3,0,Lunges
9200,89.51,88.84,-1.37,3.72,0,Lunges
9400,77.08,77.13,0.89,1.58,0,Lunges
9600,54.84,55.22,1.78,-0.26,0,Lunges
9800,25.7,26.15,-0.01,0.16,0,Lunges
10000,8.46,7.95,2.06,1.13,0,Lunges
10200,40.24,41.35,0.05,-2.01,0,Lunges
10400,68.38,69.09,-0.7,3.17,0,Lunges
10600,84.69,83.12,1.32,2.22,0,Lunges
10800,90.26,87.68,-2.19,0.52,0,Lunges
11000,81.23,79.67,-1.78,0.41,0,Lunges
11200,63.28,62.67,-2.31,-1.24,0,Lunges
11400,33.99,33.13,1.08,-1.84,0,Lunges
11600,0.98,1.53,3.45,0.43,0,Lunges
11800,32.87,33.49,0.04,0.28,0,Lunges
12000,60.49,62.79,0.83,-0.49,0,Lunges
12200,80.48,81.33,-1.86,-1.46,0,Lunges
12400,90.74,90.79,-0.98,-3.01,0,Lunges
12600,84.54,84.13,0.77,-0.17,0,Lunges
12800,70.49,70.94,0.18,-0.41,0,Lunges
13000,43.53,44.32,-0.24,0.17,0,Lunges
13200,11.45,12.25,2.39,-0.55,0,Lunges
13400,23.11,23.47,0.65,-0.39,0,Lunges
13600,52.47,54.29,1.19,-0.84,0,Lunges
13800,76.7,76.79,-1.36,-0.56,0,Lunges
14000,88.81,88.3,-0.72,1.71,0,Lunges
14200,87.67,87.74,0.47,-2.14,0,Lunges
14400,76.03,76.66,0.93,2.74,0,Lunges
14600,51.43,51.86,-3.89,0.93,0,Lunges
14800,20.71,20.53,-2.93,0.12,0,Lunges
15000,12.2,12.03,-0.55,2.79,0,Lunges
15200,43.81,44.34,3.05,-0.88,0,Lunges
15400,70.28,69.81,1.15,-1.76,0,Lunges
15600,86.54,89.08,1.79,-0.43,0,Lunges
15800,89.84,88.36,-0.22,-0.35,0,Lunges
16000,80.83,78.53,-2.06,-1.04,0,Lunges
16200,61.27,61.11,0.36,1.77,0,Lunges
16400,30.59,30.76,-2.25,3.33,0,Lunges
16600,2.85,2.49,-3.35,1.81,0,Lunges
16800,36.45,35.71,0.37,-1.33,0,Lunges
17000,64.72,64.2,-0.74,2.07,0,Lunges
17200,83.11,80.19,-1.66,0.74,0,Lunges
17400,89.65,90.3,-1.33,0.31,0,Lunges
17600,83.65,83.29,2.5,-0.63,0,Lunges
17800,66.48,66.41,0.72,-2.11,0,Lunges
18000,39.26,39.61,2.14,-0.27,0,Lunges
18200,7.56,8.02,-2.84,0.09,0,Lunges
18400,27.27,26.26,-1.46,1.72,0,Lunges
18600,56.29,56.16,0.99,-2.16,0,Lunges
18800,78.39,77.04,1.69,1.11,0,Lunges
19000,90.16,88.24,3.25,-1.19,0,Lunges
19200,86.7,86.54,-0.79,-1.31,0,Lunges
19400,73.44,74.75,-0.35,0.4,0,Lunges
19600,49.1,49.52,-0.4,0.97,0,Lunges
19800,15.45,15.28,0.6,-1.24,0,Lunges
20000,15.32,15.72,2.06,-0.55,0,Lunges
20200,48.99,48.03,-0.21,-0.53,0,Lunges
20400,73.2,73.3,2.67,-0.39,0,Lunges
20600,87.68,86.72,1.13,-0.95,0,Lunges
20800,89.49,89.81,2.22,-0.47,0,Lunges
21000,77.7,77.84,-0.93,0.7,0,Lunges
21200,57.0,56.05,1.61,0.62,0,Lunges
21400,27.04,26.62,0.42,1.14,0,Lunges
21600,7.57,7.94,-2.34,-0.72,0,Lunges
21800,39.95,38.64,1.91,1.32,0,Lunges
22000,66.06,66.91,0.58,-0.57,0,Lunges
22200,84.63,85.32,-0.39,1.19,0,Lunges
22400,91.05,90.06,0.27,-1.14,0,Lunges
22600,82.78,82.69,1.0,2.98,0,Lunges
22800,64.06,64.93,-0.5,-0.77,0,Lunges
23000,35.84,35.16,-2.89,0.07,0,Lunges
23200,2.86,2.53,1.56,-0.18,0,Lunges
23400,29.92,27.24,0.22,-1.22,0,Lunges
23600,59.93,59.51,-0.48,-0.56,0,Lunges
23800,80.22,78.33,0.09,-1.01,0,Lunges
24000,89.43,89.67,-1.03,-2.18,0,Lunges
24200,86.25,83.93,-2.24,-2.16,0,Lunges
24400,70.47,72.22,-1.11,-1.61,0,Lunges
24600,45.41,46.3,4.64,3.56,0,Lunges
24800,12.27,11.27,1.54,0.49,0,Lunges
25000,20.72,20.09,-3.37,-2.72,0,Lunges
25200,50.81,51.81,0.9,-1.46,0,Lunges
25400,76.4,77.52,-2.45,0.42,0,Lunges
25600,89.19,88.27,1.52,0.57,0,Lunges
25800,87.97,87.25,2.37,0.55,0,Lunges
26000,76.24,77.2,-2.52,3.28,0,Lunges
26200,52.26,53.18,-4.99,-0.51,0,Lunges
26400,22.74,20.96,3.82,-0.53,0,Lunges
26600,12.21,11.18,3.02,0.25,0,Lunges
26800,43.78,44.31,-3.21,-0.03,0,Lunges
27000,69.37,68.83,-1.96,-0.2,0,Lunges
27200,86.72,86.1,-1.21,-1.07,0,Lunges
27400,89.04,89.97,-5.67,2.22,0,Lunges
27600,81.56,81.43,-1.48,1.41,0,Lunges
27800,60.93,61.25,3.15,-4.69,0,Lunges
28000,32.34,32.18,-1.92,-0.17,0,Lunges
28200,1.51,2.13,-1.63,-0.38,0,Lunges
28400,35.07,35.78,1.54,0.16,0,Lunges
28600,62.15,63.36,-1.51,-0.04,0,Lunges
28800,82.71,82.21,-1.87,3.55,0,Lunges
29000,90.61,92.02,1.35,1.46,0,Lunges
29200,84.8,83.97,-3.67,1.73,0,Lunges
29400,67.93,69.34,1.15,-0.08,0,Lunges
29600,40.35,42.18,-1.62,0.18,0,Lunges
29800,7.24,6.16,-0.42,0.69,0,Lunges
30000,26.47,25.26,1.38,1.5,0,Lunges
30200,55.18,56.18,4.05,1.32,0,Lunges
30400,78.14,76.87,-1.82,-0.94,0,Lunges
30600,89.0,89.07,-0.25,0.36,0,Lunges
30800,87.69,87.94,0.63,-0.96,0,Lunges
31000,73.97,75.3,-3.61,0.03,0,Lunges
31200,50.46,50.55,-2.74,0.81,0,Lunges
31400,18.56,18.44,-2.28,-1.45,0,Lunges
31600,15.36,16.21,-0.73,0.42,0,Lunges
31800,46.49,44.66,0.24,2.67,0,Lunges
32000,71.69,72.78,1.53,-1.2,0,Lunges
32200,87.09,86.71,2.06,0.27,0,Lunges
32400,89.03,87.52,0.81,1.41,0,Lunges
32600,79.84,78.13,-3.23,-0.94,0,Lunges
32800,57.89,57.69,0.82,-2.82,0,Lunges
33000,27.23,26.3,3.05,0.46,0,Lunges
33200,5.37,6.12,-4.54,0.48,0,Lunges
33400,39.09,39.85,2.85,-1.28,0,Lunges
33600,66.56,64.95,-3.15,0.12,0,Lunges
33800,83.07,83.33,2.49,-1.64,0,Lunges
34000,89.26,88.3,1.62,1.46,0,Lunges
34200,82.31,83.46,1.09,1.56,0,Lunges
34400,64.75,64.62,0.87,-0.11,0,Lunges
34600,37.21,39.08,-1.46,1.63,0,Lunges
34800,4.16,4.99,1.02,-0.87,0,Lunges
35000,30.04,29.8,2.5,1.0,0,Lunges
35200,58.3,57.87,-2.0,-0.57,0,Lunges
35400,79.06,78.87,1.94,-0.72,0,Lunges
35600,89.16,88.79,4.35,-2.23,0,Lunges
35800,85.91,85.84,-2.02,-1.18,0,Lunges
36000,71.28,70.82,2.99,0.65,0,Lunges
36200,45.71,44.75,0.44,-1.96,0,Lunges
36400,14.35,15.38,2.05,-2.66,0,Lunges
36600,21.08,21.57,1.84,-2.7,0,Lunges
36800,51.4,50.82,-0.13,0.08,0,Lunges
37000,75.16,74.69,1.75,-0.28,0,Lunges
