timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,1.96,-0.76,0.78,0,Quad Sets
200,1.63,2.4,1.21,-1.36,0,Quad Sets
400,2.41,1.12,-0.98,-2.79,0,Quad Sets
600,3.81,4.93,-1.48,0.42,0,Quad Sets
800,4.98,5.82,-1.8,-0.35,0,Quad Sets
1000,5.86,6.08,1.9,-0.3,0,Quad Sets
1200,5.86,6.0,-0.08,-3.71,0,Quad Sets
1400,4.67,3.19,0.02,1.21,0,Quad Sets
1600,4.51,4.24,3.39,-0.96,0,Quad Sets
1800,4.54,5.95,3.27,-1.67,0,Quad Sets
2000,3.42,1.92,1.43,0.54,0,Quad Sets
2200,2.28,2.77,1.1,0.69,0,Quad Sets
2400,0.99,0.87,5.12,1.66,0,Quad Sets
2600,1.81,1.12,1.1,-2.74,0,Quad Sets
2800,2.73,3.57,-4.72,0.36,0,Quad Sets
3000,4.32,4.67,1.08,1.13,0,Quad Sets
3200,3.7,3.68,-0.72,0.3,0,Quad Sets
3400,4.28,4.82,-0.29,-2.06,0,Quad Sets
3600,6.23,6.86,1.37,0.11,0,Quad Sets
3800,5.14,5.39,-1.47,0.63,0,Quad Sets
4000,4.57,5.39,1.1,1.89,0,Quad Sets
4200,3.92,3.6,1.59,0.85,0,Quad Sets
4400,3.98,5.19,-0.94,-1.62,0,Quad Sets
4600,0.7,1.42,-1.88,0.97,0,Quad Sets
4800,0.2,-0.71,0.82,1.38,0,Quad Sets
5000,0.62,-0.04,3.25,-0.62,0,Quad Sets
5200,1.88,0.25,4.72,0.55,0,Quad Sets
5400,2.02,-0.1,-2.0,0.34,0,Quad Sets
5600,3.85,3.6,-1.16,-0.81,0,Quad Sets
5800,4.41,3.93,1.7,2.31,0,Quad Sets
6000,4.51,4.57,1.51,-1.97,0,Quad Sets
6200,5.37,6.0,1.07,0.23,0,Quad Sets
6400,4.08,3.93,3.31,0.97,0,Quad Sets
6600,4.05,4.57,0.58,-3.2,0,Quad Sets
6800,3.31,2.66,1.44,0.42,0,Quad Sets
7000,1.6,0.89,1.36,0.08,0,Quad Sets
7200,1.8,1.0,1.65,-1.21,0,Quad Sets
7400,0.09,0.01,-3.46,1.19,0,Quad Sets
7600,0.68,0.99,1.03,-2.59,0,Quad Sets
7800,1.57,2.76,1.72,-1.1,0,Quad Sets
8000,2.86,3.46,1.5,-0.5,0,Quad Sets
8200,3.47,1.76,2.15,0.64,0,Quad Sets
8400,4.43,4.36,2.75,1.03,0,Quad Sets
8600,4.22,5.07,-1.56,1.78,0,Quad Sets
8800,5.47,6.52,-1.31,1.21,0,Quad Sets
9000,4.84,5.78,-0.28,0.14,0,Quad Sets
9200,3.94,3.39,2.58,-0.75,0,Quad Sets
