timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,0.22,1.55,0.08,0,Seated Knee Extension
200,43.5,42.61,-0.65,2.62,0,Seated Knee Extension
400,76.37,76.07,1.82,0.63,0,Seated Knee Extension
600,91.14,91.28,-1.0,-0.94,0,Seated Knee Extension
800,81.44,82.17,-2.8,0.16,0,Seated Knee Extension
1000,51.44,51.43,1.49,3.36,0,Seated Knee Extension
1200,9.34,9.56,1.37,-2.83,0,Seated Knee Extension
1400,35.21,35.92,-2.72,-2.04,0,Seated Knee Extension
1600,71.63,71.83,1.27,0.45,0,Seated Knee Extension
1800,89.82,88.67,1.54,0.27,0,Seated Knee Extension
2000,84.37,84.81,-1.34,2.64,0,Seated Knee Extension
2200,60.42,60.28,0.06,-0.88,0,Seated Knee Extension
2400,19.92,18.99,0.93,-0.27,0,Seated Knee Extension
2600,25.62,24.62,0.36,-0.3,0,Seated Knee Extension
2800,62.51,62.12,2.41,0.78,0,Seated Knee Extension
3000,86.53,85.88,-1.37,0.18,0,Seated Knee Extension
3200,88.39,88.43,3.25,0.57,0,Seated Knee Extension
3400,66.88,66.61,-1.57,0.03,0,Seated Knee Extension
3600,28.85,31.12,-1.5,0.72,0,Seated Knee Extension
3800,15.73,15.49,3.67,0.67,0,Seated Knee Extension
4000,56.38,56.33,0.88,1.75,0,Seated Knee Extension
4200,83.04,82.81,-1.54,0.39,0,Seated Knee Extension
4400,88.41,88.59,-0.89,-1.36,0,Seated Knee Extension
4600,72.17,70.19,-1.69,1.61,0,Seated Knee Extension
4800,39.19,37.76,-1.2,2.01,0,Seated Knee Extension
5000,4.87,4.61,-0.11,-2.37,0,Seated Knee Extension
5200,48.1,48.45,-2.23,1.68,0,Seated Knee Extension
5400,78.93,77.98,0.88,0.02,0,Seated Knee Extension
5600,89.95,91.08,-0.77,-2.84,0,Seated Knee Extension
5800,78.58,78.95,2.63,-3.1,0,Seated Knee Extension
6000,47.92,49.16,2.44,0.13,0,Seated Knee Extension
6200,3.67,4.11,-1.96,-2.58,0,Seated Knee Extension
6400,40.15,40.15,1.6,0.6,0,Seated Knee Extension
6600,75.0,74.11,0.42,1.71,0,Seated Knee Extension
6800,89.2,88.54,2.08,-0.21,0,Seated Knee Extension
7000,83.08,83.98,0.2,1.23,0,Seated Knee Extension
7200,56.37,56.84,-0.9,-0.75,0,Seated Knee Extension
7400,15.55,15.71,-0.58,1.42,0,Seated Knee Extension
7600,29.97,30.6,-0.72,-0.46,0,Seated Knee Extension
7800,67.95,66.77,0.42,1.3,0,Seated Knee Extension
8000,88.53,89.11,-0.97,-0.8,0,Seated Knee Extension
8200,86.34,86.96,0.91,-0.98,0,Seated Knee Extension
8400,62.61,63.03,0.92,-0.83,0,Seated Knee Extension
