timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,1.39,-0.96,-1.35,-0.19,0,Side Leg Balance
200,0.0,0.55,-2.5,1.72,0,Side Leg Balance
400,0.44,0.23,-2.82,0.71,0,Side Leg Balance
600,2.37,2.9,3.74,0.06,0,Side Leg Balance
800,3.95,3.25,-2.2,1.68,0,Side Leg Balance
1000,2.77,2.12,-4.76,-4.48,0,Side Leg Balance
1200,2.84,2.88,0.62,0.12,0,Side Leg Balance
1400,4.09,2.9,1.59,-2.5,0,Side Leg Balance
1600,4.5,3.5,-1.83,-1.55,0,Side Leg Balance
1800,5.08,4.34,0.29,0.57,0,Side Leg Balance
2000,4.33,5.73,0.38,1.4,0,Side Leg Balance
2200,5.51,5.89,0.51,-1.6,0,Side Leg Balance
2400,5.31,5.39,-1.03,2.75,0,Side Leg Balance
2600,4.79,3.4,0.19,-2.75,0,Side Leg Balance
2800,4.29,4.34,-0.36,-0.19,0,Side Leg Balance
3000,4.7,6.52,5.84,0.1,0,Side Leg Balance
3200,4.94,4.09,-2.87,-1.91,0,Side Leg Balance
3400,3.07,2.54,3.1,1.44,0,Side Leg Balance
3600,4.62,3.97,-0.54,0.36,0,Side Leg Balance
3800,2.45,3.88,1.08,0.34,0,Side Leg Balance
4000,4.27,3.79,-1.0,-0.58,0,Side Leg Balance
4200,2.82,1.38,0.53,-1.84,0,Side Leg Balance
4400,1.9,1.32,-2.54,-1.45,0,Side Leg Balance
4600,0.75,-0.94,1.72,0.15,0,Side Leg Balance
4800,1.06,3.07,0.58,-2.95,0,Side Leg Balance
5000,0.0,0.72,1.95,2.2,0,Side Leg Balance
5200,1.14,0.32,-0.75,0.97,0,Side Leg Balance
5400,2.0,0.8,-2.23,-0.95,0,Side Leg Balance
5600,1.53,2.62,-0.78,0.34,0,Side Leg Balance
5800,2.71,0.34,0.71,1.09,0,Side Leg Balance
6000,3.82,5.44,-0.87,3.01,0,Side Leg Balance
6200,3.3,3.48,-3.68,0.26,0,Side Leg Balance
6400,4.29,3.73,-1.89,-0.27,0,Side Leg Balance
6600,4.1,3.77,1.38,1.24,0,Side Leg Balance
6800,4.94,5.55,1.43,-1.73,0,Side Leg Balance
7000,4.72,5.62,0.77,1.55,0,Side Leg Balance
7200,4.07,3.62,-0.63,-0.96,0,Side Leg Balance
7400,5.38,6.46,1.27,2.19,0,Side Leg Balance
7600,4.57,4.61,3.21,-1.11,0,Side Leg Balance
7800,4.25,3.97,-0.96,0.79,0,Side Leg Balance
8000,3.46,2.89,-1.77,2.01,0,Side Leg Balance
8200,3.67,4.28,-0.7,-0.72,0,Side Leg Balance
8400,3.52,3.74,-1.6,-2.91,0,Side Leg Balance
8600,3.27,3.47,2.54,1.72,0,Side Leg Balance
8800,4.12,5.13,3.6,-2.19,0,Side Leg Balance
9000,2.29,1.99,-5.99,1.45,0,Side Leg Balance
9200,2.59,3.22,3.51,-1.86,0,Side Leg Balance
9400,0.53,-0.28,5.02,0.43,0,Side Leg Balance
9600,1.19,0.64,-2.5,0.79,0,Side Leg Balance
9800,0.64,1.15,-1.39,0.63,0,Side Leg Balance
10000,0.08,-0.81,-0.0,-1.27,0,Side Leg Balance
10200,1.66,0.44,-0.5,2.15,0,Side Leg Balance
10400,0.77,0.97,-2.71,2.07,0,Side Leg Balance
10600,0.91,1.89,1.92,1.73,0,Side Leg Balance
10800,2.82,1.83,2.24,0.53,0,Side Leg Balance
11000,1.73,1.47,0.02,-0.38,0,Side Leg Balance
11200,4.83,5.43,-1.51,0.98,0,Side Leg Balance
11400,4.27,2.91,2.64,-1.33,0,Side Leg Balance
11600,4.54,5.09,1.35,0.31,0,Side Leg Balance
11800,5.45,6.33,-1.16,2.19,0,Side Leg Balance
12000,4.14,4.24,-0.04,-1.79,0,Side Leg Balance
12200,5.09,5.39,3.8,0.08,0,Side Leg Balance
12400,4.98,6.26,-0.75,-0.26,0,Side Leg Balance
12600,4.6,4.9,-1.88,-0.78,0,Side Leg Balance
12800,5.37,6.7,-1.92,-0.14,0,Side Leg Balance
13000,5.5,5.91,-1.57,-2.18,0,Side Leg Balance
13200,4.23,3.67,-1.2,-1.13,0,Side Leg Balance
13400,4.17,5.47,3.04,1.48,0,Side Leg Balance
13600,3.31,4.4,0.62,5.19,0,Side Leg Balance
13800,2.77,3.17,-3.74,2.06,0,Side Leg Balance
14000,3.93,1.89,1.84,1.0,0,Side Leg Balance
14200,2.06,1.76,1.86,0.04,0,Side Leg Balance
14400,1.24,-0.37,-1.89,0.91,0,Side Leg Balance
14600,0.0,-1.45,-1.43,-1.06,0,Side Leg Balance
14800,0.57,0.76,-2.33,-0.18,0,Side Leg Balance
15000,1.28,1.82,0.05,1.98,0,Side Leg Balance
15200,1.25,0.17,3.73,0.86,0,Side Leg Balance
15400,1.27,1.25,-1.89,-0.78,0,Side Leg Balance
15600,2.36,3.21,-1.72,2.15,0,Side Leg Balance
15800,3.05,3.71,-3.27,-1.11,0,Side Leg Balance
16000,2.56,3.18,-1.2,0.73,0,Side Leg Balance
16200,4.56,3.35,0.27,2.25,0,Side Leg Balance
16400,3.99,4.45,-2.87,0.84,0,Side Leg Balance
16600,4.32,3.33,-2.86,1.98,0,Side Leg Balance
16800,4.4,5.1,2.87,-0.01,0,Side Leg Balance
17000,6.0,5.05,-0.37,2.18,0,Side Leg Balance
17200,6.04,4.25,2.41,-1.87,0,Side Leg Balance
17400,5.27,7.02,-2.53,-2.75,0,Side Leg Balance
17600,4.69,4.73,1.34,-2.44,0,Side Leg Balance
17800,5.66,5.51,0.69,0.62,0,Side Leg Balance
18000,4.46,4.47,-3.0,-3.11,0,Side Leg Balance
18200,3.89,4.73,-1.18,-1.3,0,Side Leg Balance
18400,3.34,3.05,-0.1,-0.4,0,Side Leg Balance
18600,3.21,2.84,2.63,1.86,0,Side Leg Balance
18800,2.67,3.17,-5.16,-0.1,0,Side Leg Balance
19000,3.88,4.11,-2.74,1.47,0,Side Leg Balance
19200,2.23,2.27,3.46,-1.86,0,Side Leg Balance
19400,2.21,2.19,-0.42,-1.3,0,Side Leg Balance
19600,2.07,1.99,0.59,-0.06,0,Side Leg Balance
19800,0.35,-0.26,-0.46,-0.71,0,Side Leg Balance
20000,0.0,0.08,1.36,-0.73,0,Side Leg Balance
20200,1.62,3.02,0.14,1.95,0,Side Leg Balance
20400,1.32,1.71,1.98,1.19,0,Side Leg Balance
20600,1.63,1.66,-3.67,-0.92,0,Side Leg Balance
20800,2.95,3.08,2.09,-1.25,0,Side Leg Balance
21000,2.89,2.83,-1.13,-0.38,0,Side Leg Balance
21200,4.22,3.51,-2.28,-0.16,0,Side Leg Balance
21400,3.23,3.68,-0.54,-0.06,0,Side Leg Balance
21600,3.4,2.33,-2.05,0.86,0,Side Leg Balance
21800,4.58,4.88,-3.3,-0.55,0,Side Leg Balance
22000,3.75,3.65,-0.5,-1.6,0,Side Leg Balance
22200,5.63,5.6,1.05,1.63,0,Side Leg Balance
22400,4.08,3.66,-4.98,0.1,0,Side Leg Balance
22600,3.78,3.44,1.1,1.7,0,Side Leg Balance
22800,4.82,4.56,1.73,0.53,0,Side Leg Balance
23000,4.75,4.67,0.59,1.53,0,Side Leg Balance
23200,4.77,6.36,1.21,1.83,0,Side Leg Balance
23400,3.59,2.89,-0.77,-0.77,0,Side Leg Balance
23600,3.15,0.91,1.62,-0.54,0,Side Leg Balance
