timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.1,0.99,-1.31,-2.25,0,Side Leg Raises
200,19.14,20.58,3.87,0.02,0,Side Leg Raises
400,33.45,31.73,0.79,-2.44,0,Side Leg Raises
600,40.5,40.92,-1.54,-0.14,0,Side Leg Raises
800,35.13,34.72,1.57,-1.53,0,Side Leg Raises
1000,22.23,22.69,1.5,1.62,0,Side Leg Raises
1200,5.29,5.92,1.23,2.34,0,Side Leg Raises
1400,13.76,14.51,1.88,0.54,0,Side Leg Raises
1600,31.11,31.38,-0.93,-1.28,0,Side Leg Raises
1800,39.21,38.73,-1.07,-0.27,0,Side Leg Raises
2000,37.38,39.55,-1.56,1.88,0,Side Leg Raises
2200,26.84,26.89,-2.16,-1.72,0,Side Leg Raises
2400,9.86,9.42,1.4,-0.91,0,Side Leg Raises
2600,11.32,10.6,0.86,0.79,0,Side Leg Raises
2800,28.38,28.03,0.84,-0.74,0,Side Leg Raises
3000,38.57,37.5,0.49,-0.18,0,Side Leg Raises
3200,39.46,40.26,-2.38,0.47,0,Side Leg Raises
3400,29.27,29.2,-0.86,-0.19,0,Side Leg Raises
3600,12.89,13.2,-1.32,-0.7,0,Side Leg Raises
3800,6.51,4.96,1.45,-0.54,0,Side Leg Raises
4000,24.1,22.26,-0.65,0.84,0,Side Leg Raises
4200,37.24,36.19,1.65,0.23,0,Side Leg Raises
4400,40.91,42.86,1.92,-0.0,0,Side Leg Raises
4600,31.96,32.12,-1.31,3.72,0,Side Leg Raises
4800,17.48,18.0,-0.63,-0.51,0,Side Leg Raises
5000,2.37,2.08,2.95,1.28,0,Side Leg Raises
5200,21.42,20.98,-1.92,-0.84,0,Side Leg Raises
5400,34.06,33.95,3.37,1.32,0,Side Leg Raises
5600,40.16,40.63,0.8,0.26,0,Side Leg Raises
5800,35.67,36.96,1.21,-1.46,0,Side Leg Raises
6000,20.83,19.52,1.57,-0.04,0,Side Leg Raises
6200,1.98,3.59,-1.9,0.54,0,Side Leg Raises
6400,18.85,20.27,0.6,1.15,0,Side Leg Raises
6600,33.23,31.96,3.45,1.91,0,Side Leg Raises
6800,39.0,40.13,1.11,1.21,0,Side Leg Raises
7000,37.18,33.63,0.17,-1.25,0,Side Leg Raises
7200,24.89,24.93,-2.95,0.25,0,Side Leg Raises
7400,6.06,5.54,2.16,-1.12,0,Side Leg Raises
7600,14.46,14.8,-1.38,0.4,0,Side Leg Raises
7800,30.53,31.2,0.17,1.23,0,Side Leg Raises
8000,39.28,38.31,1.41,-0.99,0,Side Leg Raises
8200,38.28,37.72,0.95,3.62,0,Side Leg Raises
8400,27.33,27.78,-3.77,3.45,0,Side Leg Raises
8600,10.43,10.62,1.84,0.29,0,Side Leg Raises
8800,9.85,8.87,0.04,-0.6,0,Side Leg Raises
9000,26.99,26.23,1.53,1.29,0,Side Leg Raises
9200,37.58,38.1,1.03,-1.71,0,Side Leg Raises
9400,39.97,40.09,2.03,0.84,0,Side Leg Raises
9600,32.05,30.34,-3.18,-0.06,0,Side Leg Raises
9800,14.27,14.82,0.26,-0.3,0,Side Leg Raises
10000,5.04,4.25,2.03,-0.75,0,Side Leg Raises
10200,24.05,24.42,3.61,1.45,0,Side Leg Raises
10400,36.29,36.6,0.71,-1.59,0,Side Leg Raises
10600,39.58,40.01,0.25,0.41,0,Side Leg Raises
10800,32.68,31.27,-1.36,-0.72,0,Side Leg Raises
11000,17.7,16.71,-1.23,1.07,0,Side Leg Raises
11200,0.0,0.29,1.99,1.19,0,Side Leg Raises
11400,20.78,19.82,0.55,0.0,0,Side Leg Raises
11600,33.45,34.22,2.28,0.27,0,Side Leg Raises
11800,39.43,41.63,-0.94,1.21,0,Side Leg Raises
12000,35.3,34.68,-0.36,-0.28,0,Side Leg Raises
12200,21.93,20.29,0.42,-0.64,0,Side Leg Raises
12400,3.74,3.52,-1.72,0.08,0,Side Leg Raises
12600,16.06,15.61,-1.69,0.17,0,Side Leg Raises
12800,31.73,31.83,2.71,0.25,0,Side Leg Raises
13000,39.82,40.47,2.16,-0.77,0,Side Leg Raises
13200,36.96,36.85,4.15,0.52,0,Side Leg Raises
13400,26.18,25.84,0.97,-0.39,0,Side Leg Raises
13600,8.06,7.28,0.36,-2.49,0,Side Leg Raises
13800,12.48,13.15,0.79,-1.01,0,Side Leg Raises
14000,28.77,28.14,-0.31,-0.75,0,Side Leg Raises
14200,38.69,39.36,0.85,0.12,0,Side Leg Raises
14400,38.02,37.54,-0.72,0.41,0,Side Leg Raises
14600,29.59,31.05,-0.51,-0.25,0,Side Leg Raises
14800,12.56,13.53,1.77,-0.98,0,Side Leg Raises
15000,7.52,6.28,2.55,-0.88,0,Side Leg Raises
15200,25.89,25.11,-0.99,3.13,0,Side Leg Raises
15400,37.32,37.5,-2.16,-2.52,0,Side Leg Raises
15600,39.86,39.77,-0.02,0.24,0,Side Leg Raises
15800,32.31,31.68,-1.54,-1.25,0,Side Leg Raises
16000,17.35,16.06,-0.03,-2.57,0,Side Leg Raises
16200,3.09,3.67,-0.46,1.76,0,Side Leg Raises
16400,22.1,21.2,0.31,-0.16,0,Side Leg Raises
16600,35.67,34.94,-3.57,-0.87,0,Side Leg Raises
16800,39.45,40.32,1.39,1.08,0,Side Leg Raises
17000,34.46,33.69,-3.85,0.61,0,Side Leg Raises
17200,18.78,18.59,-2.87,-3.27,0,Side Leg Raises
17400,0.04,-1.67,0.89,0.69,0,Side Leg Raises
17600,18.22,18.15,-1.68,0.88,0,Side Leg Raises
17800,33.63,32.72,-2.21,1.56,0,Side Leg Raises
18000,39.66,39.24,0.18,-1.23,0,Side Leg Raises
18200,36.58,37.23,2.36,-2.01,0,Side Leg Raises
18400,23.3,23.75,-0.87,-1.18,0,Side Leg Raises
18600,6.57,4.99,1.61,-0.11,0,Side Leg Raises
18800,15.25,14.51,-1.31,0.57,0,Side Leg Raises
19000,30.55,31.29,-1.73,-1.58,0,Side Leg Raises
19200,39.43,39.13,-1.88,-3.03,0,Side Leg Raises
19400,38.24,37.76,0.6,2.9,0,Side Leg Raises
19600,26.29,25.12,-1.43,-1.59,0,Side Leg Raises
19800,9.7,10.89,0.34,1.62,0,Side Leg Raises
20000,9.57,10.31,-0.81,0.62,0,Side Leg Raises
20200,28.18,29.37,-1.28,-3.19,0,Side Leg Raises
20400,37.75,40.27,-1.16,-0.15,0,Side Leg Raises
20600,38.18,38.3,2.57,1.28,0,Side Leg Raises
20800,30.82,32.17,1.37,-2.55,0,Side Leg Raises
21000,14.06,13.82,-0.5,0.44,0,Side Leg Raises
21200,6.27,5.79,2.0,-1.28,0,Side Leg Raises
21400,23.83,22.0,1.64,1.54,0,Side Leg Raises
21600,36.4,37.54,2.74,0.09,0,Side Leg Raises
21800,39.77,39.84,-0.13,2.96,0,Side Leg Raises
22000,32.8,31.98,-2.09,-1.36,0,Side Leg Raises
22200,17.15,16.08,2.54,-1.46,0,Side Leg Raises
22400,0.88,2.01,1.02,0.37,0,Side Leg Raises
22600,20.19,18.24,0.62,1.06,0,Side Leg Raises
22800,34.84,34.63,-0.5,-0.0,0,Side Leg Raises
23000,39.59,38.87,-2.81,1.64,0,Side Leg Raises
23200,36.26,35.68,-1.07,-0.91,0,Side Leg Raises
23400,21.72,23.16,0.15,-0.9,0,Side Leg Raises
