timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.59,0.23,-3.48,0.39,0,Single-leg Squats
200,29.62,29.93,0.54,-0.25,0,Single-leg Squats
400,55.12,53.88,-0.79,0.75,0,Single-leg Squats
600,71.99,72.71,-0.6,-1.0,0,Single-leg Squats
800,80.65,80.06,-0.84,-2.26,0,Single-leg Squats
1000,75.75,76.27,-1.56,2.78,0,Single-leg Squats
1200,61.16,62.93,0.28,0.89,0,Single-leg Squats
1400,38.55,39.26,-1.46,-2.13,0,Single-leg Squats
1600,8.83,9.72,-1.8,0.97,0,Single-leg Squats
1800,20.86,20.74,-0.51,-2.34,0,Single-leg Squats
2000,48.45,49.72,-0.98,-0.39,0,Single-leg Squats
2200,68.74,68.25,3.83,0.34,0,Single-leg Squats
2400,79.7,80.05,-0.97,-1.78,0,Single-leg Squats
2600,78.24,79.59,0.38,-0.41,0,Single-leg Squats
2800,67.45,66.97,-0.24,-0.03,0,Single-leg Squats
3000,45.94,45.68,-1.54,-1.26,0,Single-leg Squats
3200,18.98,20.31,-0.12,1.8,0,Single-leg Squats
3400,12.24,10.48,-0.15,1.33,0,Single-leg Squats
3600,40.72,40.31,3.89,0.01,0,Single-leg Squats
3800,63.53,65.22,1.9,1.92,0,Single-leg Squats
4000,77.37,74.95,2.71,-0.01,0,Single-leg Squats
4200,79.38,80.73,2.13,-0.08,0,Single-leg Squats
4400,70.98,72.03,-1.27,3.26,0,Single-leg Squats
4600,51.27,50.68,-1.88,0.73,0,Single-leg Squats
4800,26.33,25.83,-0.03,0.62,0,Single-leg Squats
5000,2.38,2.17,0.26,1.19,0,Single-leg Squats
5200,32.6,31.89,1.29,-1.54,0,Single-leg Squats
5400,57.93,57.91,1.75,-0.23,0,Single-leg Squats
5600,74.11,73.27,1.42,0.89,0,Single-leg Squats
5800,80.43,79.96,1.19,0.53,0,Single-leg Squats
6000,74.2,73.17,1.55,-2.35,0,Single-leg Squats
6200,59.39,61.86,1.78,-0.84,0,Single-leg Squats
6400,34.47,34.47,-0.1,-2.31,0,Single-leg Squats
6600,6.17,5.87,1.23,1.95,0,Single-leg Squats
6800,25.09,24.21,-1.08,-1.78,0,Single-leg Squats
