timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,0.23,-1.52,3.05,0,Squats
200,36.25,35.08,-0.45,-0.46,0,Squats
400,69.85,69.98,-4.08,-1.19,0,Squats
600,91.6,92.39,-1.72,1.05,0,Squats
800,99.72,99.56,-3.28,0.17,0,Squats
1000,94.21,93.51,-2.78,0.88,0,Squats
1200,75.37,76.75,-1.49,-1.58,0,Squats
1400,47.8,47.38,-2.84,2.01,0,Squats
1600,11.76,12.37,-1.02,-0.17,0,Squats
1800,26.42,25.69,-2.42,-0.29,0,Squats
2000,60.07,58.93,0.82,1.18,0,Squats
2200,85.22,85.09,-1.61,0.11,0,Squats
2400,98.92,98.64,0.87,-3.14,0,Squats
2600,97.68,98.77,1.53,0.29,0,Squats
2800,82.32,81.15,1.59,1.16,0,Squats
3000,56.86,56.55,1.92,-0.27,0,Squats
3200,23.34,20.71,0.1,-0.33,0,Squats
3400,15.39,16.59,-3.7,-1.81,0,Squats
3600,51.2,51.41,-3.92,0.22,0,Squats
3800,78.91,78.39,2.8,-0.66,0,Squats
4000,96.13,96.85,1.91,2.04,0,Squats
4200,98.59,97.63,-1.73,2.23,0,Squats
4400,88.65,87.67,-0.99,-0.14,0,Squats
4600,66.1,65.23,2.69,1.35,0,Squats
4800,33.01,35.55,-0.58,1.87,0,Squats
5000,5.15,5.37,0.56,-0.6,0,Squats
5200,40.99,42.0,0.83,4.77,0,Squats
5400,73.38,72.6,2.1,-0.14,0,Squats
5600,93.09,93.24,-0.95,-1.17,0,Squats
5800,100.7,101.61,0.89,-0.52,0,Squats
6000,92.87,92.94,-1.16,0.16,0,Squats
6200,73.17,74.26,-0.6,1.8,0,Squats
6400,42.1,41.75,-3.71,0.4,0,Squats
6600,6.21,7.43,-1.03,-2.33,0,Squats
6800,30.47,31.03,3.19,2.05,0,Squats
7000,64.71,64.88,0.23,0.12,0,Squats
7200,88.03,90.62,0.76,0.44,0,Squats
7400,99.26,100.62,1.52,1.33,0,Squats
7600,97.56,97.79,-0.29,2.36,0,Squats
7800,80.55,80.1,-1.16,0.13,0,Squats
8000,52.88,53.88,1.68,0.54,0,Squats
8200,17.65,16.61,-2.02,-0.34,0,Squats
8400,19.91,19.84,0.88,-1.75,0,Squats
8600,55.25,55.85,2.5,-2.06,0,Squats
8800,81.59,82.79,-0.07,1.05,0,Squats
9000,97.03,96.77,-0.29,1.24,0,Squats
9200,99.75,98.67,-1.18,-1.72,0,Squats
9400,87.68,88.99,-2.03,-0.61,0,Squats
9600,61.3,62.6,2.19,0.02,0,Squats
9800,27.63,28.87,-0.25,0.24,0,Squats
10000,9.0,7.28,1.68,-0.13,0,Squats
10200,46.13,45.64,1.62,3.02,0,Squats
10400,75.32,74.96,2.48,-0.53,0,Squats
10600,94.77,94.77,-1.08,0.56,0,Squats
10800,99.75,100.71,0.26,-2.43,0,Squats
11000,91.51,91.43,-1.03,1.08,0,Squats
11200,70.02,69.87,-1.79,-1.14,0,Squats
11400,38.29,38.43,-1.96,-1.55,0,Squats
11600,1.54,0.8,-2.66,2.42,0,Squats
11800,35.23,36.05,-2.87,-0.34,0,Squats
12000,67.23,67.56,0.78,1.92,0,Squats
12200,90.3,91.05,1.86,0.5,0,Squats
12400,100.33,99.6,-1.87,1.35,0,Squats
12600,94.53,95.28,-2.86,-0.13,0,Squats
12800,76.85,77.53,1.62,-0.12,0,Squats
13000,48.09,47.48,0.04,-0.66,0,Squats
13200,13.7,14.45,0.01,-1.06,0,Squats
13400,25.1,25.8,-0.33,-3.0,0,Squats
13600,59.14,58.28,-0.67,-0.69,0,Squats
13800,85.48,85.55,1.11,-1.66,0,Squats
14000,98.44,97.97,2.03,-1.99,0,Squats
14200,99.32,97.94,4.86,-1.34,0,Squats
14400,82.42,81.21,2.46,-1.62,0,Squats
14600,58.34,56.82,3.5,0.72,0,Squats
14800,23.22,23.2,1.99,-0.88,0,Squats
15000,15.08,16.64,-0.8,1.43,0,Squats
15200,49.37,50.15,-3.26,-1.07,0,Squats
15400,77.8,78.14,4.21,1.29,0,Squats
15600,96.03,95.97,0.32,0.05,0,Squats
15800,100.16,100.11,3.72,3.87,0,Squats
16000,89.31,90.68,-0.53,-1.15,0,Squats
16200,66.88,67.52,-0.11,0.19,0,Squats
16400,33.98,33.98,-1.22,-3.44,0,Squats
16600,3.47,3.36,-2.16,-2.17,0,Squats
16800,40.15,39.43,0.96,1.55,0,Squats
17000,70.7,69.95,-0.99,-1.62,0,Squats
17200,91.97,90.47,0.05,3.06,0,Squats
17400,99.75,101.17,1.04,-0.13,0,Squats
17600,93.18,92.3,-1.47,-2.39,0,Squats
17800,74.86,74.68,-0.18,-1.57,0,Squats
18000,44.41,43.44,-1.09,0.78,0,Squats
18200,7.66,7.23,-2.62,3.69,0,Squats
18400,29.66,29.67,0.95,-0.22,0,Squats
