timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,1.39,2.1,-0.74,0.18,0,Step-ups
200,32.96,33.26,-0.83,0.07,0,Step-ups
400,59.05,58.57,-5.24,1.86,0,Step-ups
600,69.64,70.33,-0.62,2.44,0,Step-ups
800,62.6,64.4,-0.39,-0.65,0,Step-ups
1000,40.57,38.23,0.85,2.15,0,Step-ups
1200,7.44,9.14,-2.65,-0.56,0,Step-ups
1400,26.45,25.44,4.85,1.12,0,Step-ups
1600,54.61,56.01,-1.48,0.21,0,Step-ups
1800,69.33,68.95,0.36,2.81,0,Step-ups
2000,64.71,64.91,-2.0,-1.86,0,Step-ups
2200,46.35,45.96,-1.26,-0.34,0,Step-ups
2400,15.6,17.0,-1.58,-0.93,0,Step-ups
2600,19.2,19.27,-0.51,-1.18,0,Step-ups
2800,49.21,48.48,-0.64,-1.8,0,Step-ups
3000,67.5,65.99,1.27,0.27,0,Step-ups
3200,69.64,67.75,1.29,-0.14,0,Step-ups
3400,51.99,51.9,2.02,2.95,0,Step-ups
3600,22.79,23.55,3.28,0.26,0,Step-ups
3800,11.33,9.49,-1.66,1.68,0,Step-ups
4000,44.4,44.14,-1.24,0.22,0,Step-ups
4200,64.29,64.08,-1.09,-0.1,0,Step-ups
4400,70.7,70.56,-0.17,0.66,0,Step-ups
4600,56.22,55.92,-0.73,-1.37,0,Step-ups
4800,30.91,30.53,1.82,-1.54,0,Step-ups
5000,5.05,6.27,1.36,-0.48,0,Step-ups
5200,37.67,37.81,-3.32,-1.25,0,Step-ups
5400,62.62,62.25,-2.39,0.09,0,Step-ups
5600,69.46,68.72,-4.01,0.13,0,Step-ups
5800,60.94,60.78,0.97,0.56,0,Step-ups
6000,37.17,38.31,-0.21,-0.9,0,Step-ups
6200,3.74,3.1,-0.11,2.57,0,Step-ups
6400,31.1,30.95,-0.12,3.72,0,Step-ups
6600,57.99,58.23,-1.58,0.11,0,Step-ups
6800,69.19,68.88,-0.28,-1.3,0,Step-ups
7000,65.31,65.38,-0.98,-0.35,0,Step-ups
7200,43.0,43.19,1.27,1.13,0,Step-ups
7400,10.44,10.36,-4.27,1.5,0,Step-ups
7600,23.88,24.09,0.81,0.13,0,Step-ups
7800,53.2,52.09,-0.13,1.13,0,Step-ups
8000,67.8,68.02,3.14,2.08,0,Step-ups
8200,67.33,67.49,-2.99,2.22,0,Step-ups
8400,48.72,49.27,-0.35,0.26,0,Step-ups
8600,17.89,17.44,-0.83,-0.74,0,Step-ups
8800,16.1,16.68,2.24,0.09,0,Step-ups
9000,47.53,47.67,2.66,1.79,0,Step-ups
9200,65.9,64.69,1.35,2.58,0,Step-ups
9400,68.43,68.87,1.08,0.06,0,Step-ups
9600,54.34,51.76,-3.49,0.49,0,Step-ups
9800,25.64,26.18,1.99,1.67,0,Step-ups
10000,9.02,7.68,1.56,1.89,0,Step-ups
10200,42.08,42.1,0.46,0.91,0,Step-ups
10400,64.44,64.93,0.07,1.01,0,Step-ups
10600,70.19,69.04,-0.54,-1.55,0,Step-ups
10800,58.65,59.46,-0.27,1.2,0,Step-ups
11000,32.62,33.5,3.36,0.96,0,Step-ups
11200,1.35,2.07,-1.45,3.55,0,Step-ups
11400,35.43,35.15,-1.43,0.38,0,Step-ups
11600,59.92,59.18,3.52,-1.01,0,Step-ups
11800,70.68,69.64,-2.33,-2.44,0,Step-ups
12000,60.79,61.17,0.0,-0.91,0,Step-ups
12200,39.72,40.18,-0.65,2.24,0,Step-ups
12400,6.28,6.39,-3.26,-0.88,0,Step-ups
12600,27.67,27.61,-1.59,0.33,0,Step-ups
12800,55.8,55.2,1.72,2.77,0,Step-ups
13000,68.94,68.5,-0.34,-2.11,0,Step-ups
13200,65.62,66.54,1.22,1.56,0,Step-ups
13400,46.84,47.31,3.68,0.04,0,Step-ups
13600,14.27,14.53,-0.41,-1.33,0,Step-ups
13800,20.82,20.01,-1.33,0.76,0,Step-ups
14000,50.02,49.27,0.99,0.38,0,Step-ups
14200,67.21,67.71,0.9,-1.79,0,Step-ups
14400,67.85,66.77,-0.48,-0.67,0,Step-ups
14600,50.68,50.64,-2.58,-0.17,0,Step-ups
14800,21.55,19.91,-2.35,-0.45,0,Step-ups
15000,13.11,12.56,-3.45,-0.39,0,Step-ups
15200,44.39,44.81,-1.68,-1.05,0,Step-ups
15400,66.33,65.64,2.72,1.35,0,Step-ups
15600,67.76,67.76,4.15,1.01,0,Step-ups
15800,56.52,53.65,1.06,-3.6,0,Step-ups
16000,30.73,29.68,-0.55,-1.77,0,Step-ups
16200,6.63,8.23,-3.35,-1.1,0,Step-ups
16400,38.73,38.67,0.34,2.34,0,Step-ups
16600,61.81,64.03,-2.55,-0.13,0,Step-ups
16800,68.68,69.51,1.34,0.46,0,Step-ups
17000,60.04,61.31,4.1,2.77,0,Step-ups
17200,35.25,35.52,-0.84,1.12,0,Step-ups
17400,1.93,2.24,1.77,0.65,0,Step-ups
17600,31.58,31.95,0.42,1.33,0,Step-ups
17800,58.05,58.95,-2.42,-0.09,0,Step-ups
18000,69.47,70.01,1.81,1.02,0,Step-ups
18200,63.98,63.36,2.3,-1.65,0,Step-ups
18400,42.39,43.85,-3.57,0.17,0,Step-ups
18600,9.42,10.73,-2.77,-2.29,0,Step-ups
18800,24.55,24.63,-3.74,-1.85,0,Step-ups
19000,54.04,54.94,-1.45,-1.57,0,Step-ups
19200,67.75,67.93,3.65,-1.47,0,Step-ups
19400,67.3,67.16,0.09,1.52,0,Step-ups
19600,48.0,45.71,-2.48,-1.79,0,Step-ups
19800,17.35,18.31,0.8,0.32,0,Step-ups
20000,17.03,19.69,-1.51,-0.07,0,Step-ups
20200,46.26,47.04,0.01,-0.22,0,Step-ups
20400,65.97,67.25,-1.04,-0.8,0,Step-ups
20600,69.37,68.72,0.1,1.35,0,Step-ups
20800,52.42,53.02,1.48,0.2,0,Step-ups
21000,24.47,23.26,0.94,0.31,0,Step-ups
21200,10.69,9.68,-0.89,1.91,0,Step-ups
21400,42.35,43.95,1.59,-0.62,0,Step-ups
21600,64.06,64.34,-2.04,2.53,0,Step-ups
