timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.3,1.45,-2.29,-1.66,0,Step Hops
200,40.17,40.56,-2.69,-1.79,0,Step Hops
400,4.37,2.43,1.51,0.44,0,Step Hops
600,39.25,38.36,-1.24,-1.53,0,Step Hops
800,7.98,5.33,-1.27,0.66,0,Step Hops
1000,38.37,37.91,-0.31,1.6,0,Step Hops
1200,13.7,15.4,-0.1,-1.51,0,Step Hops
1400,38.33,37.14,-0.08,1.59,0,Step Hops
1600,16.88,17.47,0.41,1.25,0,Step Hops
1800,35.01,35.66,4.69,0.54,0,Step Hops
2000,21.01,21.19,0.91,-0.42,0,Step Hops
2200,32.58,32.04,-0.9,-0.78,0,Step Hops
2400,24.92,25.55,-4.92,3.15,0,Step Hops
2600,30.11,31.28,-1.4,-0.91,0,Step Hops
2800,27.42,27.77,1.56,1.16,0,Step Hops
3000,27.47,30.33,-0.37,2.23,0,Step Hops
3200,31.62,31.79,-3.09,1.58,0,Step Hops
3400,22.84,23.93,0.25,2.0,0,Step Hops
3600,33.18,33.49,0.72,0.26,0,Step Hops
3800,18.93,21.59,-0.09,-0.15,0,Step Hops
4000,35.8,36.25,2.69,-1.46,0,Step Hops
4200,16.21,16.69,-1.23,-0.56,0,Step Hops
4400,36.43,35.53,2.01,1.03,0,Step Hops
4600,12.16,9.77,-1.49,-2.69,0,Step Hops
4800,39.36,38.85,3.2,-2.11,0,Step Hops
5000,7.3,6.6,-2.23,1.27,0,Step Hops
5200,39.48,39.08,0.59,-1.84,0,Step Hops
5400,3.31,3.25,0.07,2.11,0,Step Hops
5600,40.04,40.54,-3.41,0.56,0,Step Hops
5800,0.89,0.51,-4.0,1.55,0,Step Hops
6000,39.83,37.65,-3.11,0.93,0,Step Hops
6200,6.25,6.37,-1.6,1.97,0,Step Hops
6400,39.43,39.69,0.32,0.79,0,Step Hops
6600,10.77,11.06,-0.06,-2.21,0,Step Hops
6800,37.94,39.38,0.39,1.94,0,Step Hops
7000,13.62,13.89,2.36,-0.93,0,Step Hops
7200,36.17,35.88,-2.95,-1.7,0,Step Hops
7400,17.84,18.38,1.39,-0.37,0,Step Hops
7600,34.46,34.26,-1.35,1.13,0,Step Hops
7800,22.45,21.72,0.54,2.97,0,Step Hops
8000,31.53,29.89,-1.25,-0.06,0,Step Hops
8200,26.71,27.73,1.97,-1.03,0,Step Hops
8400,28.91,29.9,-2.61,-2.58,0,Step Hops
8600,28.69,29.25,-1.24,-0.71,0,Step Hops
8800,25.14,24.27,-0.75,-1.64,0,Step Hops
9000,32.27,32.13,0.27,0.57,0,Step Hops
9200,23.67,24.72,0.96,-0.45,0,Step Hops
9400,33.79,34.31,-1.41,-0.56,0,Step Hops
9600,19.41,19.37,-1.47,0.92,0,Step Hops
9800,36.02,34.45,-2.65,-0.33,0,Step Hops
10000,14.92,14.79,-0.94,1.56,0,Step Hops
10200,37.88,39.59,0.41,0.96,0,Step Hops
10400,10.66,11.53,1.7,2.77,0,Step Hops
10600,39.08,37.42,-0.46,0.03,0,Step Hops
10800,6.66,5.87,1.15,-0.58,0,Step Hops
11000,39.94,39.59,-0.52,-1.91,0,Step Hops
11200,1.9,1.94,2.31,2.21,0,Step Hops
11400,40.59,40.13,-1.0,-0.25,0,Step Hops
11600,2.71,2.35,0.38,2.5,0,Step Hops
11800,39.09,38.95,-0.82,0.09,0,Step Hops
12000,7.28,7.36,-1.06,0.28,0,Step Hops
12200,38.86,38.53,-0.53,0.63,0,Step Hops
12400,9.65,9.74,1.54,-1.76,0,Step Hops
12600,37.05,37.91,1.52,-0.94,0,Step Hops
12800,15.97,15.12,1.05,0.72,0,Step Hops
13000,36.34,36.87,-2.82,-1.9,0,Step Hops
13200,19.5,20.11,2.0,2.04,0,Step Hops
13400,32.58,32.3,-1.0,2.17,0,Step Hops
