timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,0.11,2.31,0.71,0,Straight Leg Raises
200,10.76,11.39,-0.7,-1.12,0,Straight Leg Raises
400,22.48,22.5,-1.98,-1.26,0,Straight Leg Raises
600,30.45,31.69,4.65,0.04,0,Straight Leg Raises
800,38.78,38.22,-0.33,2.55,0,Straight Leg Raises
1000,42.5,44.07,2.7,0.17,0,Straight Leg Raises
1200,44.52,45.06,-1.91,-0.46,0,Straight Leg Raises
1400,42.96,45.22,-1.74,2.18,0,Straight Leg Raises
1600,40.83,39.82,-0.64,-0.8,0,Straight Leg Raises
1800,34.47,34.51,0.19,0.25,0,Straight Leg Raises
2000,25.82,26.6,3.6,1.55,0,Straight Leg Raises
2200,15.59,15.93,-1.88,-1.61,0,Straight Leg Raises
2400,4.6,4.88,-1.68,0.73,0,Straight Leg Raises
2600,5.98,5.54,0.43,-0.46,0,Straight Leg Raises
2800,16.05,15.24,0.1,-1.36,0,Straight Leg Raises
3000,27.4,27.23,0.29,-1.52,0,Straight Leg Raises
3200,36.13,37.08,0.03,1.1,0,Straight Leg Raises
3400,41.35,40.12,-3.7,-0.95,0,Straight Leg Raises
3600,44.93,46.39,-0.66,1.71,0,Straight Leg Raises
3800,45.43,45.37,-0.4,-1.12,0,Straight Leg Raises
4000,42.2,42.02,1.8,-0.29,0,Straight Leg Raises
4200,37.29,38.07,3.37,-2.32,0,Straight Leg Raises
4400,29.39,29.87,3.32,-0.03,0,Straight Leg Raises
4600,19.58,21.1,-0.24,0.18,0,Straight Leg Raises
4800,9.42,9.45,-0.86,0.43,0,Straight Leg Raises
5000,0.89,0.89,-2.05,-1.25,0,Straight Leg Raises
5200,13.84,13.98,-0.17,-0.28,0,Straight Leg Raises
5400,22.93,22.1,0.32,-1.59,0,Straight Leg Raises
5600,31.66,30.81,-1.51,1.42,0,Straight Leg Raises
5800,38.89,39.5,1.42,0.72,0,Straight Leg Raises
6000,43.3,44.16,0.48,-2.03,0,Straight Leg Raises
6200,45.21,44.01,1.67,-0.48,0,Straight Leg Raises
6400,43.61,42.48,-2.25,-1.07,0,Straight Leg Raises
6600,38.75,39.75,3.17,0.42,0,Straight Leg Raises
6800,33.89,33.8,-2.04,-0.66,0,Straight Leg Raises
7000,24.29,21.14,2.6,1.09,0,Straight Leg Raises
7200,14.84,13.53,1.17,1.64,0,Straight Leg Raises
7400,3.57,3.85,-1.36,-2.47,0,Straight Leg Raises
7600,7.61,8.02,0.12,1.2,0,Straight Leg Raises
7800,18.38,18.43,-0.52,3.07,0,Straight Leg Raises
8000,28.1,28.27,-0.02,-0.72,0,Straight Leg Raises
8200,37.18,34.5,0.65,1.43,0,Straight Leg Raises
8400,42.34,43.97,2.24,-1.19,0,Straight Leg Raises
8600,44.89,44.21,-1.6,-1.17,0,Straight Leg Raises
8800,44.05,41.82,-0.57,2.34,0,Straight Leg Raises
9000,41.49,40.11,0.26,0.74,0,Straight Leg Raises
9200,37.0,37.94,-2.43,-2.18,0,Straight Leg Raises
9400,28.85,29.39,-0.9,-0.27,0,Straight Leg Raises
9600,20.79,21.26,-2.94,-1.87,0,Straight Leg Raises
9800,7.9,9.21,-0.5,-0.29,0,Straight Leg Raises
10000,2.56,2.29,-3.13,-1.29,0,Straight Leg Raises
10200,13.93,13.58,0.39,2.28,0,Straight Leg Raises
10400,24.18,25.25,3.01,-1.67,0,Straight Leg Raises
10600,32.84,34.25,5.96,0.94,0,Straight Leg Raises
10800,39.87,39.1,1.29,-0.01,0,Straight Leg Raises
11000,42.93,41.31,3.89,1.66,0,Straight Leg Raises
11200,44.72,45.78,5.47,-0.12,0,Straight Leg Raises
11400,42.11,41.96,-1.5,-2.04,0,Straight Leg Raises
11600,39.18,39.9,-2.91,-1.32,0,Straight Leg Raises
11800,32.98,31.97,2.21,1.56,0,Straight Leg Raises
12000,24.23,24.4,0.97,-1.06,0,Straight Leg Raises
12200,13.28,14.69,-1.43,-1.03,0,Straight Leg Raises
12400,2.13,1.6,-2.51,0.92,0,Straight Leg Raises
12600,9.0,9.48,0.45,-0.27,0,Straight Leg Raises
12800,19.1,16.6,-0.17,1.91,0,Straight Leg Raises
13000,29.79,29.42,2.56,-1.29,0,Straight Leg Raises
13200,37.74,38.74,-1.31,-2.3,0,Straight Leg Raises
13400,42.41,45.36,-2.79,1.72,0,Straight Leg Raises
13600,44.94,44.97,0.28,0.78,0,Straight Leg Raises
13800,43.34,43.38,-0.32,-0.49,0,Straight Leg Raises
14000,42.07,41.42,1.62,0.0,0,Straight Leg Raises
14200,35.08,36.04,-0.24,-0.58,0,Straight Leg Raises
14400,26.99,27.1,0.3,0.88,0,Straight Leg Raises
14600,17.89,17.46,-0.6,-0.34,0,Straight Leg Raises
14800,6.96,8.25,0.74,1.02,0,Straight Leg Raises
15000,3.68,3.49,-0.92,0.15,0,Straight Leg Raises
15200,15.7,16.33,1.19,-0.74,0,Straight Leg Raises
15400,25.45,27.15,0.46,0.59,0,Straight Leg Raises
15600,34.46,35.22,1.25,-0.93,0,Straight Leg Raises
15800,40.3,39.31,3.14,2.33,0,Straight Leg Raises
16000,44.56,43.72,3.91,-1.88,0,Straight Leg Raises
16200,45.23,45.07,2.49,-0.42,0,Straight Leg Raises
16400,42.4,43.26,1.01,0.61,0,Straight Leg Raises
16600,39.04,41.38,3.96,0.27,0,Straight Leg Raises
16800,30.9,31.76,-1.27,0.15,0,Straight Leg Raises
17000,21.92,21.56,-1.82,0.77,0,Straight Leg Raises
17200,11.3,11.23,-1.56,1.21,0,Straight Leg Raises
17400,0.23,0.33,4.8,-0.8,0,Straight Leg Raises
17600,11.79,12.31,-1.47,-1.3,0,Straight Leg Raises
17800,21.8,21.02,2.66,-3.45,0,Straight Leg Raises
18000,30.65,31.1,0.41,0.53,0,Straight Leg Raises
18200,38.58,38.76,2.61,1.4,0,Straight Leg Raises
18400,42.44,41.93,0.4,-0.33,0,Straight Leg Raises
18600,45.51,45.4,-1.07,0.93,0,Straight Leg Raises
18800,44.47,45.48,1.79,0.87,0,Straight Leg Raises
19000,41.08,41.1,-0.3,-3.59,0,Straight Leg Raises
19200,34.47,35.28,-1.95,0.98,0,Straight Leg Raises
19400,27.0,25.42,1.48,-1.09,0,Straight Leg Raises
19600,16.31,16.42,-2.27,2.54,0,Straight Leg Raises
19800,5.29,4.61,2.64,-0.87,0,Straight Leg Raises
20000,7.04,7.49,0.49,-1.46,0,Straight Leg Raises
20200,15.57,16.25,0.76,-1.76,0,Straight Leg Raises
