timestamp,knee_angle,pitch,roll,yaw,label,exercise
0,0.0,-0.87,-0.1,2.07,0,Wall Slides
200,14.45,14.59,-4.25,0.07,0,Wall Slides
400,29.25,28.75,1.49,0.71,0,Wall Slides
600,42.06,42.92,-1.05,-0.24,0,Wall Slides
800,50.71,51.36,-2.41,0.23,0,Wall Slides
1000,57.69,58.6,0.67,0.39,0,Wall Slides
1200,60.65,59.58,-0.54,-0.5,0,Wall Slides
1400,58.66,57.5,1.03,-2.06,0,Wall Slides
1600,53.61,53.51,-1.64,1.42,0,Wall Slides
1800,45.17,44.1,1.19,-3.49,0,Wall Slides
2000,34.83,35.54,4.18,0.53,0,Wall Slides
2200,21.48,21.63,-0.73,-0.17,0,Wall Slides
2400,6.41,7.9,-1.99,3.43,0,Wall Slides
2600,7.09,8.1,0.62,-0.54,0,Wall Slides
2800,22.81,22.05,-2.91,1.21,0,Wall Slides
3000,35.99,35.18,-0.05,-1.04,0,Wall Slides
3200,46.33,46.33,1.35,1.39,0,Wall Slides
3400,54.2,54.78,2.8,0.19,0,Wall Slides
3600,59.97,58.77,-1.54,0.04,0,Wall Slides
3800,59.87,59.89,-3.09,0.65,0,Wall Slides
4000,56.23,55.26,-0.95,-1.23,0,Wall Slides
4200,49.68,49.1,-0.18,-0.73,0,Wall Slides
4400,39.5,40.1,-2.57,1.37,0,Wall Slides
4600,26.43,25.43,3.87,0.38,0,Wall Slides
4800,12.45,12.84,1.55,1.38,0,Wall Slides
5000,2.26,0.81,0.06,1.75,0,Wall Slides
5200,16.0,17.56,1.44,1.32,0,Wall Slides
5400,31.16,32.47,-0.32,-0.09,0,Wall Slides
5600,43.44,43.95,0.22,0.01,0,Wall Slides
5800,51.22,51.35,-1.92,1.74,0,Wall Slides
6000,58.56,58.7,-3.52,3.49,0,Wall Slides
6200,61.16,60.45,1.28,-0.32,0,Wall Slides
6400,58.4,57.84,1.87,0.87,0,Wall Slides
6600,54.23,52.17,1.82,-1.16,0,Wall Slides
6800,44.75,44.53,1.22,-0.19,0,Wall Slides
7000,32.82,33.36,-0.5,0.06,0,Wall Slides
7200,20.18,20.81,0.91,0.13,0,Wall Slides
7400,5.02,5.96,-0.25,2.15,0,Wall Slides
7600,11.49,10.0,-2.28,-2.61,0,Wall Slides
7800,25.01,26.34,1.97,-2.02,0,Wall Slides
8000,37.88,36.25,-0.46,0.4,0,Wall Slides
8200,47.27,46.65,2.35,1.6,0,Wall Slides
8400,55.49,54.5,-2.09,-0.97,0,Wall Slides
8600,59.1,58.34,0.87,-0.58,0,Wall Slides
8800,59.14,59.28,-0.49,-1.55,0,Wall Slides
9000,56.68,55.53,1.09,-2.76,0,Wall Slides
9200,49.16,51.63,5.33,1.04,0,Wall Slides
9400,39.03,37.18,0.53,-1.69,0,Wall Slides
9600,25.76,25.36,0.34,-2.24,0,Wall Slides
9800,10.96,12.33,-2.1,-0.02,0,Wall Slides
10000,3.61,4.0,0.39,-0.06,0,Wall Slides
10200,18.47,20.07,5.16,-1.88,0,Wall Slides
10400,31.32,31.59,0.18,-0.79,0,Wall Slides
10600,44.76,43.63,-2.14,0.39,0,Wall Slides
10800,53.11,54.13,2.27,1.16,0,Wall Slides
11000,57.91,57.43,1.18,-2.2,0,Wall Slides
11200,60.32,60.5,-3.14,4.36,0,Wall Slides
11400,57.99,56.77,-1.77,-2.7,0,Wall Slides
11600,52.16,51.56,0.13,-1.12,0,Wall Slides
11800,43.57,43.92,0.54,1.18,0,Wall Slides
12000,31.57,34.12,-0.68,0.34,0,Wall Slides
12200,17.64,19.2,-1.86,0.13,0,Wall Slides
12400,3.19,4.2,3.24,2.67,0,Wall Slides
12600,11.82,12.45,-1.67,-2.47,0,Wall Slides
12800,26.27,25.42,-2.23,-2.36,0,Wall Slides
13000,39.73,39.02,0.67,2.12,0,Wall Slides
13200,48.76,48.85,1.97,3.52,0,Wall Slides
13400,55.73,56.26,-2.28,0.26,0,Wall Slides
13600,59.28,59.19,0.33,-1.14,0,Wall Slides
13800,59.2,59.64,-0.51,-0.37,0,Wall Slides
14000,56.21,55.51,-0.48,1.74,0,Wall Slides
14200,48.21,47.5,-1.21,-1.0,0,Wall Slides
14400,36.8,36.22,1.88,0.54,0,Wall Slides
14600,23.55,23.11,-2.19,2.06,0,Wall Slides
14800,10.31,10.58,0.61,-0.1,0,Wall Slides
15000,6.51,6.1,-1.06,1.06,0,Wall Slides
15200,19.78,18.56,0.93,0.42,0,Wall Slides
